id,umisid,paymentid,feetype,offering
890,NULL,50692,Foundation Fee,NULL
891,NULL,51670,Foundation Fee,NULL
892,NULL,51699,Foundation Fee,NULL
893,NULL,51760,Foundation Fee,NULL
894,NULL,51766,Foundation Fee,NULL
895,NULL,51803,Foundation Fee,NULL
896,NULL,51805,Foundation Fee,NULL
897,NULL,51881,Foundation Fee,NULL
898,NULL,52041,Foundation Fee,NULL
899,NULL,52140,Foundation Fee,NULL
900,NULL,52152,Foundation Fee,NULL
901,NULL,52309,Foundation Fee,NULL
902,NULL,52604,Foundation Fee,NULL
903,NULL,52893,Foundation Fee,NULL
904,NULL,52909,Foundation Fee,NULL
905,NULL,53081,Foundation Fee,NULL
906,NULL,53174,Foundation Fee,NULL
907,NULL,53248,Foundation Fee,NULL
908,NULL,53284,Foundation Fee,NULL
909,NULL,53464,Foundation Fee,NULL
910,NULL,53893,Foundation Fee,NULL
911,NULL,54118,Foundation Fee,NULL
912,NULL,54580,Foundation Fee,NULL
913,NULL,54595,Foundation Fee,NULL
914,NULL,54687,Foundation Fee,NULL
915,NULL,54732,Foundation Fee,NULL
916,NULL,54833,Foundation Fee,NULL
917,NULL,54834,Foundation Fee,NULL
918,NULL,54851,Foundation Fee,NULL
919,NULL,54891,Foundation Fee,NULL
920,NULL,54936,Foundation Fee,NULL
921,NULL,54948,Foundation Fee,NULL
922,NULL,54949,Foundation Fee,NULL
923,NULL,55009,Foundation Fee,NULL
924,NULL,55108,Foundation Fee,NULL
925,NULL,55148,Foundation Fee,NULL
926,NULL,55150,Foundation Fee,NULL
927,NULL,55166,Foundation Fee,NULL
928,NULL,55209,Foundation Fee,NULL
929,NULL,55217,Foundation Fee,NULL
930,NULL,55218,Foundation Fee,NULL
931,NULL,55222,Foundation Fee,NULL
932,NULL,55228,Foundation Fee,NULL
933,NULL,55278,Foundation Fee,NULL
934,NULL,55281,Foundation Fee,NULL
935,NULL,55295,Foundation Fee,NULL
936,NULL,55304,Foundation Fee,NULL
937,NULL,55307,Foundation Fee,NULL
938,NULL,55325,Foundation Fee,NULL
939,NULL,55353,Foundation Fee,NULL
940,NULL,55365,Foundation Fee,NULL
941,NULL,55382,Foundation Fee,NULL
942,NULL,55391,Foundation Fee,NULL
943,NULL,55393,Foundation Fee,NULL
944,NULL,55395,Foundation Fee,NULL
945,NULL,55435,Foundation Fee,NULL
946,NULL,55467,Foundation Fee,NULL
947,NULL,55474,Foundation Fee,NULL
948,NULL,55476,Foundation Fee,NULL
949,NULL,55559,Foundation Fee,NULL
950,NULL,55562,Foundation Fee,NULL
951,NULL,55588,Foundation Fee,NULL
