id,umisid,mupdate,txn_datetime
64429,10025434,1,2020-07-20 09:32:00
64430,10024545,1,2020-07-20 09:32:01
64431,10025835,1,2020-07-20 09:32:01
64432,22000575,1,2020-07-20 09:32:01
64433,10026025,1,2020-07-20 09:32:01
64434,22013679,1,2020-07-20 09:42:40
64435,10023742,1,2020-07-20 09:42:40
64436,10018603,1,2020-07-20 09:42:40
64437,10026020,1,2020-07-20 09:42:40
64438,23013535,1,2020-07-20 09:42:40
64439,10023794,1,2020-07-20 09:42:40
64440,10018634,1,2020-07-20 09:42:40
64441,22009256,1,2020-07-20 09:42:40
64442,22007048,1,2020-07-20 09:42:40
64443,10020797,1,2020-07-21 08:35:19
64444,10023805,1,2020-07-21 18:29:57
64445,10023878,1,2020-07-21 18:29:57
64446,10025048,1,2020-07-21 18:29:57
64447,10025194,1,2020-07-21 18:29:57
64448,10025388,1,2020-07-21 18:29:58
64449,10025568,1,2020-07-21 18:29:58
64450,10025619,1,2020-07-21 18:29:58
64451,10022603,1,2020-07-21 18:29:58
64452,10023791,1,2020-07-21 18:29:58
64453,10024556,1,2020-07-21 18:29:58
64454,10024572,1,2020-07-21 18:29:58
64455,10024900,1,2020-07-21 18:29:58
64456,10025295,1,2020-07-21 18:29:58
64457,10025503,1,2020-07-21 18:29:58
64458,10025526,1,2020-07-21 18:29:58
64459,10025528,1,2020-07-21 18:29:58
64460,10024795,1,2020-07-21 18:29:59
64461,10025962,1,2020-07-21 18:29:59

