Degree_ID,Degree_Payment_ID,Degree_Pay_IntakeID,Degree_Payment_AddByID,Degree_Payment_Year,Degree_Payment_Amount,Degree_Payment_TimeStamp,Degree_Payment_IsDeleted
1,926,16,1,1,800000.00,2018-12-05 10:33:04,0
1,927,16,1,2,800000.00,2018-12-05 10:33:04,0
1,928,16,1,3,800000.00,2018-12-05 10:35:24,0
1,929,16,1,4,800000.00,2018-12-05 10:35:24,0
5,930,16,1,1,800000.00,2018-12-05 10:37:57,0
5,931,16,1,2,800000.00,2018-12-05 10:37:57,0
5,932,16,1,3,800000.00,2018-12-05 10:39:01,0
5,933,16,1,4,800000.00,2018-12-05 10:39:01,0
6,934,16,1,1,1000000.00,2018-12-05 10:51:08,0
6,935,16,1,2,1000000.00,2018-12-05 10:51:08,0
6,936,16,1,3,1000000.00,2018-12-05 10:51:32,0
7,937,16,1,1,900000.00,2018-12-05 10:35:43,0
7,938,16,1,2,900000.00,2018-12-05 10:35:43,0
7,939,16,1,3,840000.00,2018-12-05 10:37:17,0
7,940,16,1,4,840000.00,2018-12-05 10:37:17,0
8,941,16,1,1,900000.00,2018-12-05 10:39:43,0
8,942,16,1,2,900000.00,2018-12-05 10:39:43,0
8,943,16,1,3,840000.00,2018-12-05 10:41:28,0
8,944,16,1,4,840000.00,2018-12-05 10:41:28,0
9,945,16,1,1,1100000.00,2018-12-05 10:48:05,0
9,946,16,1,2,1100000.00,2018-12-05 10:48:05,0
9,947,16,1,3,1100000.00,2018-12-05 10:48:24,0
10,948,16,1,1,1200000.00,2018-12-05 11:01:12,0
10,949,16,1,2,1000000.00,2018-12-05 11:01:12,0
10,950,16,1,3,1000000.00,2018-12-05 11:01:56,0
11,951,16,1,1,1200000.00,2018-12-05 11:03:05,0
11,952,16,1,2,1000000.00,2018-12-05 11:03:05,0
11,953,16,1,3,1000000.00,2018-12-05 11:03:30,0
12,954,16,1,1,1200000.00,2018-12-05 11:04:08,0
12,955,16,1,2,1000000.00,2018-12-05 11:04:08,0
12,956,16,1,3,1000000.00,2018-12-05 11:04:20,0
13,957,16,1,1,1200000.00,2018-12-05 11:05:04,0
13,958,16,1,2,1000000.00,2018-12-05 11:05:04,0
13,959,16,1,3,1000000.00,2018-12-05 11:05:18,0
14,960,16,1,1,1200000.00,2018-12-05 11:05:58,0
14,961,16,1,2,1000000.00,2018-12-05 11:05:58,0
14,962,16,1,3,1000000.00,2018-12-05 11:06:15,0
15,963,16,1,1,1200000.00,2018-12-05 11:07:16,0
