id,umisid,mupdate,txn_datetime
64508,10026969,1,2020-08-12 15:35:37
64509,10024630,1,2020-08-12 15:35:37
64510,10026261,1,2020-08-12 15:35:37
64511,10023774,1,2020-08-12 15:35:37
64512,10021272,1,2020-08-12 15:35:37
64513,10022418,1,2020-08-12 15:35:37
64514,10022309,1,2020-08-12 15:35:37
64515,10026158,1,2020-08-12 15:35:37
64516,10021602,1,2020-08-12 15:35:38
64517,10022466,1,2020-08-12 15:35:38
64518,10026716,1,2020-08-12 15:35:38
64519,22000283,1,2020-08-12 15:35:38
64520,10026517,1,2020-08-12 15:35:38
64521,10023518,1,2020-08-12 15:35:38
64522,10026993,1,2020-08-12 15:35:38
64523,10026624,1,2020-08-12 15:35:38
64524,10025617,1,2020-08-12 15:35:38
64525,10024047,1,2020-08-12 15:35:38
64526,10025497,1,2020-08-12 15:35:38
64527,10004763,1,2020-08-12 15:35:38
64528,10006325,1,2020-08-13 09:32:23

